REVEAL__blur_euclidean,LRP__blur_euclidean,Same_Classification__blur,REVEAL__big_uniform_euclidean,LRP__big_uniform_euclidean,Same_Classification__big_uniform
1.0566412255589368e-06,1.4103995122912095e-06,True,,,
,,,5.644821646577364e-06,5.031613945347939e-06,True
2.447999361539629e-06,1.9030462847269728e-06,True,,,
,,,9.196751256376011e-06,9.659990882678758e-06,False
7.717313206446761e-07,1.0216837094965002e-06,True,,,
,,,5.3021582144241366e-06,6.226896248406481e-06,False
1.9044139854532308e-06,1.1140150711302226e-06,True,,,
,,,3.952890610078169e-06,8.301023599465222e-06,False
7.598658269646826e-07,2.140469412856151e-06,False,,,
,,,9.442121863402125e-06,7.895822348862329e-06,False
1.7079533763892443e-06,2.293266914850185e-06,False,,,
,,,1.777166462080036e-06,9.1666953593358e-06,False
1.6814585746395755e-06,3.049118636999772e-06,True,,,
,,,6.848572812052272e-06,1.1095792945351153e-05,False
1.4338614091774685e-06,1.2182338648872266e-06,True,,,
,,,1.1070343329080547e-05,7.203705650569606e-06,False
1.318438593686852e-06,1.3757473783405688e-06,True,,,
,,,8.986793946983644e-06,8.647967175752964e-06,False
2.3112123795725346e-07,9.086195516547947e-07,True,,,
,,,7.814284807368084e-06,1.0572774054206114e-05,False
7.382471452912282e-07,1.7538970566780846e-06,True,,,
,,,5.705263480173594e-06,8.45620416185006e-06,False
1.0782652101670558e-06,1.8553911997732e-06,True,,,
,,,7.758585765195466e-06,1.0186406487533497e-05,False
6.252029938542665e-07,1.297162449289778e-06,True,,,
,,,7.20539668089302e-06,8.939066124618373e-06,False
6.567658629126283e-07,1.3946426761752172e-06,True,,,
,,,8.61572067129579e-06,9.551618386524144e-06,False
9.926455564639503e-07,1.3352280480683723e-06,True,,,
,,,3.377542423051413e-06,5.889101849188079e-06,True
1.985152545247453e-06,1.794014010812686e-06,True,,,
,,,1.1597547143870158e-05,1.377044104456557e-05,False
2.041081266048322e-06,1.2446106663195875e-06,True,,,
,,,5.736749084315843e-06,8.81958777203282e-06,False
9.90411099416451e-07,1.4748759930935803e-06,True,,,
,,,6.309611904243818e-06,1.158398268201384e-05,False
7.506688722066654e-07,1.190650227311285e-06,True,,,
,,,3.0044300530955737e-06,8.161087262839955e-06,False
1.4565873586512797e-06,1.6465606374014348e-06,True,,,
,,,4.185205966183361e-06,8.612454026701769e-06,False
1.7020063778444676e-06,2.4044993203268625e-06,False,,,
